Which player wore shirt number 10 for Germany in World Cup 2014?, 1, 1, Mesut Ozil, 1, Muller
Who is the only goalkeeper to win the Ballon d'Or?, 1, 2, Lev Yashin, 2, Gigi Buffon
Where was the 1978 World Cup held?, 2, 1, Argentina, 1, Italy
Which is the 2nd nationality of Kylian Mbappe?, 2, 1, Cameroon, 1, Algeria
How many African players have won the Ballon d'Or?, 2, 2, 1, 2, 2
In which country AS Trencin located?, 2, 3, Slovakia, 3, Moldova
Top5 goalkeepers with most clean shhets in UEFA Champions League:, 3, 3, Casilla-Neuer-Buffon-Cech-Victor Valdes, 3, none
Top5 teams with most wins in UEFA Super Cup:, 3, 3, Real Madrid-AC Milan-Barcelona-Liverpool-Atletico Madrid, 3, none
2024 DFB-Pokal final 1.FC Kaiserslautern 0–1 Bayer Leverkusen Lineups: Hradecky(GK)_Kossounou(RCB)_Tah(CB)_Tapsoba(LCB)_Grimaldo(LM)_Andrich(LCM)_Xhaka(RCM)_Frimpong(RM)_??????(RCAM)_Wirtz(LCAM)_Schick(ST), 4, 3, Hofmann, 3, Amine Adli
2024 Italy Cup final Atalanta 0-1 Juventus Lineups: ??????(GK)_Bremer(RCB)_Danilo(CB)_Gatti(LCB)_Iling-Junior(LM)_Nicolussi(LCM)_Rabiot(CDM)_McKennie(RCM)_Cambiaso(RM)_Vlahovic(RST)_Chiesa(LST), 4, 3, Perin, 3, Szczesny
[2007–2011] Hamburger SV II > [2007–2011] Hamburger SV > [2009–2010] FC Nurnberg(loan) > [2011–2014] Mainz 05 > [2012–2013] Mainz 05 II > [2014–2017] Schalke 04 > [2017–2018] Stoke City > [2018–2020]	PSG > [2020–2024] Bayern Munich > [2025–]	New York Red Bulls, 5, 2, Choupo-Moting, 2, Idrissa Gueye 
[2015–2016] PSG II > [2016–2018] PSG > [2017–2018] Montpellier(loan) > [2017–2018] Montpellier B(loan) > [2018–2022] Lille > [22022–] Fiorentina > [2025–] Como(loan), 5, 2, Jonathan Ikone, 2, Nordi Mukiele
Who player was most times on FIFA covers?, 6, 1, Wayne Rooney, 1, Lionel Messi
What was the first position of Gigi Buffom before play as a goalkeeper?, 6, 2, midfielder, 2, forward
[2017–2018] Liverpool U18/U19 > [2018–2021]Rangers > [2021–2022] Aston Villa > [2023–2025] Al-Ettifaq, 7, 1, Steven Gerrald, 1, Frank Lampard
[2001-2005] Monaco > [2006-2007] Juventus > [2009-2012] Marseille > [2012–] France, 7, 1, Didier Deschamps, 1, Laurient Blanc
UECL 2022 Quarterfinal Marseille vs PAOK, 8, 1, Score: 2-1 > Scorers: Gerson-Payet-El Kaddouri, 1, none
UEL 2023 Group A Olympiakos vs West Ham United, 8, 1, Score: 2-1 > Scorers: Fortounis-Rodinei-Paqueta, 1, none
David de Gea - Hugo Lloris. Who has won more clean sheets in Premier League?, 9, 1, David de Gea, 1, none
Marcelo - Dani Alves. Who has more appearances with their national team?, 9, 1, Dani Alves, 1, none
Players who played in: Ajax-Eintracht Frankfurt, 10, 1, Sebastien Haller & Donny van de Beek & Rasmus Kristensen & Amin Younes & Diant Ramaj, 1, none
Players who played in: Benfica-Liverpool., 10, 1, Darwin Nunez & Lazar Markovic & Michael Thomas & Abel Xavier, 1, none
Which team's logo is this?, 11, 1, SC Braga, 1, Famalicao
Which team's logo is this?, 11, 2, Palmeiras, 2, Flamengo
